Job Number,Filepath,Address,BS7666UPRN,Easting,Northing
JN24960,"Box 12_Client Box 12\01_Dev at Green Lane\Land at, Green Lane, Clanfield, Waterlooville.pdf","Land at, Green Lane, Clanfield, Waterlooville",10032900051,470854.738,116133.415
JN24960,"Box 12_Client Box 12\02_Dev Land South of Chalton Lane Clanfields\Land South of, Chalton Lane, Clanfield, Waterlooville.pdf","Land South of, Chalton Lane, Clanfield, Waterlooville",10090972728,471047.715,116403.4215
JN24960,"Box 12_Client Box 12\03_Dev at Lord Mayor Treloar College Upper Froyle\Treloar College, Ryebridge Lane, Upper Froyle, Alton, GU34 4LA.pdf","Treloar College, Ryebridge Lane, Upper Froyle, Alton, GU34 4LA",10009815743,475552.3,142653.3
JN24960,"Box 12_Client Box 12\04_Dev on Land at Inclosure Foxmer Garrison 172 Dwellings\Hogmoor Inclosure and Bordon Garrison Land, Budds Lane, Bordon.pdf","Hogmoor Inclosure and Bordon Garrison Land, Budds Lane, Bordon",10090973715,479142.145,135160.376506676
JN24960,"Box 12_Client Box 12\05_Four Marks\Land to rear of, Winchester Road, Chawton, Alton.pdf","Land to rear of, Winchester Road, Chawton, Alton",10032900044,471084.91,138332.805
JN24960,"Box 12_Client Box 12\06_Dev at Lowsley Farm Liphook\Land at Lowsley Farm - Phase 1, Longmoor Road, Liphook.pdf","Land at Lowsley Farm - Phase 1, Longmoor Road, Liphook",10009818461,483012,131981
JN24960,"Box 12_Client Box 12\07_Dev North of Brislands Lane Four Marks\Brislands, Brislands Lane, Four Marks, Alton, GU34 5AG.pdf","Brislands, Brislands Lane, Four Marks, Alton, GU34 5AG",100060261429,466007,133834
JN24960,"Box 12_Client Box 12\08_Dev East & West of Upper Anstey Lane  Alton\Land at Cadnam Farm, Upper Anstey Lane, Shalden, Alton.pdf","Land at Cadnam Farm, Upper Anstey Lane, Shalden, Alton",200002383726,471994.186234928,141041.501512359
JN24960,"Box 13_Client Box 13\09_Ramshill Development (Was ENL Map 536)\Land to the north of, Ramshill, Petersfield.pdf","Land to the north of, Ramshill, Petersfield",10009819313,475179.8,124132
JN24960,"Box 13_Client Box 13\10_King George Hospital Site Liphook\King George's Hospital Site, Hewshott Lane, Liphook.pdf","King George's Hospital Site, Hewshott Lane, Liphook",10009818309,484440.406332699,132207.840155263
JN24960,"Box 13_Client Box 13\11_Chandos Lodge\Land at rear of Chandos Lodge, London Road, Holybourne, Alton.pdf","Land at rear of Chandos Lodge, London Road, Holybourne, Alton",10032899677,472953.544117573,140353.115417881
JN24960,"Box 13_Client Box 13\Chase Farm Dev (Lindford)\Chase Farm, Chase Road, Lindford, Bordon, GU35 0ST.pdf","Chase Farm, Chase Road, Lindford, Bordon, GU35 0ST",1710047934,480362,135871
JN24960,"Box 13_Client Box 13\Horndean Brewery Site\Former Site of Gales Brewery, London Road, Horndean, Waterlooville.pdf","Former Site of Gales Brewery, London Road, Horndean, Waterlooville",10032906906,470655.779,113266.586
JN24960,"Box 13_Client Box 13\Keyline RC\Keyline Builders Merchants Ltd, The Depot, Redhill Road, Rowlands Castle.pdf","Keyline Builders Merchants Ltd, The Depot, Redhill Road, Rowlands Castle",1710106328,473356.11,110377.2
JN24960,"Box 13_Client Box 13\Land Adj Lord Mayor Treloar Hospital Site Alton\Land at Lord Mayor Treloar Hospital Site, Chawton Park Road, Alton.pdf","Land at Lord Mayor Treloar Hospital Site, Chawton Park Road, Alton",10032899954,470451.3634725,138382.360983
JN24960,"Box 13_Client Box 13\Land East of Horndean\Development Land East of Horndean, Rowlands Castle Road, Horndean, Waterlooville.pdf","Development Land East of Horndean, Rowlands Castle Road, Horndean, Waterlooville",10090973377,470971.705,112291.175
JN24960,"Box 13_Client Box 13\Lord Mayor Treloar Hospital\Site of Lord Mayor Treloar Hospital, Chawton Park Road, Alton.pdf","Site of Lord Mayor Treloar Hospital, Chawton Park Road, Alton",10009819082,470555.4,138277.4